VINAGRE SALOME 1,000 X 12 UN, 10 PACAS, $1.900
VINAGRE IDEAL 2790 (3,000) X 6 U, 10 PACAS, $3.800
DON PALMA IDEAL 20 LITROS R, 15, $113.850
DON PALMA IDEAL 15 LITROS R, 10, $81.100
BIDON PALMA IDEAL 18 LITROS, 10, $103.750
5,000 PALMA IDEAL X 4 UND, 13 PACAS, $29.500
3,000 PALMA IDEAL (C) X 6 UND, 10 PACAS, $18.050
2,000 PALMA IDEAL (C) X 6 UND, 10 PACAS, $11.900
,000 PALMA IDEAL (C) X 12 UNID, 10 PACAS, $6.300
900 PALMA IDEAL (C) X 12 UNID, 8 PACAS, $5.400
500 PALMA IDEAL (F) X 24, 15, $3.250
250 PALMA IDEAL  (C)X 24, 10 PACAS, $1.900
3,000 SOYA IDEAL X 6 UND, 10 PACAS, $18.850
2,000 SOYA IDEAL X 6 UND, 5 PACAS, $13.100
500 SOYA IDEAL X 24, 5 PACAS, $3.350
1,000 SOYA (B) IDEAL X 12 UNID, 5P, $7.300
5,000 SOYA MAITE  X 4 UND, 5P, $36.725
3,000 SOYA MAITE X 6 UND, 5 PACAS, $22.200
2,000 SOYA MAITE X 6 UND, 5 PACAS, $15.200
1,000 SOYA MAITE  X 12 UNID, 5 PACAS, $7.200
500 SOYA MAITE X 24, 10, $3.900
250 SOYA MAITE X 24, 10 PACAS, $2.200
CAJA DE SARDINA *155GRX50UN, 1 caja, $2.600
CAJA DE ATUN EN ACEITE X 48 U, 1 caja, $3.700
SACHET MAYONESA X 12 CAJAS, 12 cajas, $1.200
SACHET TOMATE X 12 CAJAS, 12 cajas, $1.200

